Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,
714,30-03-2019,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,Group,185,8,185,6,Delhi Capitals,Super Over,,Prithvi Shaw,
715,31-03-2019,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,231,2,113,10,Sunrisers Hyderabad,Runs,118,Jonny Bairstow,
716,31-03-2019,M. A. Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Group,175,5,167,8,Chennai Super Kings,Runs,8,Mahendra Singh Dhoni,
717,1/4/2019,Punjab Cricket Association Stadium,Kings XI Punjab,Delhi Capitals,Delhi Capitals,Field,Group,166,9,152,10,Kings XI Punjab,Runs,14,Sam Curran,
718,2/4/2019,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Group,158,4,164,3,Rajasthan Royals,Wickets,7,Shreyas Gopal,
719,3/4/2019,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Group,170,5,133,8,Mumbai Indians,Runs,37,Hardik Pandya,
720,4/4/2019,Feroz Shah Kotla,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,129,8,131,5,Sunrisers Hyderabad,Wickets,5,Jonny Bairstow,
721,5/4/2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,205,3,206,5,Kolkata Knight Riders,Wickets,5,Andre Russell,
722,6/4/2019,M. A. Chidambaram Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,160,3,138,5,Chennai Super Kings,Runs,22,Harbhajan Singh,
723,6/4/2019,Rajiv Gandhi International Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,136,7,96,10,Mumbai Indians,Runs,40,Alzarri Joseph,
724,7/4/2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,Group,149,8,152,6,Delhi Capitals,Wickets,4,Kagiso Rabada,
725,7/4/2019,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,139,3,140,2,Kolkata Knight Riders,Wickets,8,Harry Gurney,
726,8/4/2019,Punjab Cricket Association Stadium,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Group,150,4,151,4,Kings XI Punjab,Wickets,6,K. L. Rahul,
727,9/4/2019,M. A. Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Group,108,9,111,3,Chennai Super Kings,Wickets,7,Deepak Chahar,
728,10/4/2019,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,197,4,198,7,Mumbai Indians,Wickets,3,Kieron Pollard,
